Title,Address,"1st Description","1st Hours","2nd Description","2nd Hours","3rd Descript","3rd Hours",Lat,Long,"Twenty Four Hours",Notes,Checkins
,"116 S 3rd St, Central Point, OR 97502","Walk up ballot drop box (south side of library building, main entrance)","Opens Monday, Oct 25th; Until 8pm on Election Day",,,,,42.3741707,-122.9144145,,,
,"29821 Ellensburg Ave., Gold Beach, OR 97444","Drive-Up Ballot Drop Box - E. Moore St. parking lot entrance","Until 8pm on Election Day","County Clerk/Elections Office","Monday-Friday 9am-12pm &  1-4pm; Election Day 7am-8pm",,,42.4169023,-124.4195841,1,,
,"133 Broadway St., Rogue River, OR 97537",,"Monday-Friday 9am-12:30pm & 1:30pm-5pm; Until 8pm on Election Day",,,,,42.434315,-123.168066,,,
,"500 NW 6th St., Grants Pass, OR 97528-0203","Ballot Drop Box on north side (Tax entrance)","Until 8pm on Election Day","Ballot Drop Box on south side (Justice Building entrance)","Until 8pm on Election Day",,,42.442892,-123.325671,1,"-'Testing an email' on 2011-05-09T20:33:33-0600 by 67.51.72.14",
,"200 NW ""C"" Street, Grants Pass, OR 97526","Parking lot behind Josephine Community Library/Enter on 'C' Street","Until 8pm on Election Day",,,,,42.442999,-123.326693,1,,
,"17 S Buchanan Ave., Eagle Point, OR 97524",,"Monday-Friday 8am-noon & 1pm-5pm; Until 8pm on Election Day",,,,,42.4727589,-122.8065249,,,
,"3600 Merlin Rd, Merlin, OR 97532","Ballot Drop Box at base of flag pole on Monument Drive","Until 8pm on Election Day",,,,,42.5692155,-123.5960648,1,,
,"140 South First Street, Chiloquin, OR 97624",,"Monday & Tuesday 10am-4pm; Wednesday & Thursday 10am-6pm; Friday & Saturday 10am-2pm; Until 8pm on Election Day",,,,,42.575629,-121.863678,,,
,"723 Chewaucan, Paisley, OR 97636","Next door to the post office","Election Day 7am-8pm",,,,,42.6942851,-120.5448546,,,
,"124 Third Street, Glendale, OR 97442",,"Monday-Friday 8:30am -12pm & 1pm-5pm, Until 8pm on Election Day",,,,,42.7395812,-123.4260166,,,
,"555 W. 20th St., Port Orford, OR 97465","Drive-Up Ballot Drop Box","Until 8pm on Election Day",,,,,42.7542511,-124.4988583,1,,
,"3rd and Fir St., Powers, OR 97466",,"Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,42.881485,-124.0702666,,,
,"250 North Main Street, Canyonville, OR 97417",,"Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,42.9304581,-123.2807192,,,
,"Yturri Blvd., Jordan Valley, OR 97910","Ballot Drop Box across from the Post Office","Until 8pm on Election Day",,,,,42.9688386,-117.0352996,1,,
,"207 NW Pleasant, Myrtle Creek, OR 97457","Drive by Ballot Drop Box","Until 8pm on Election Day",,,,,43.026514,-123.2886259,1,,
,"435 5th Street, Myrtle Point, OR 97458",,"Monday-Wednesday 10am-8pm; Thursday-Saturday 12pm-5pm; Election Day 10am-8pm",,,,,43.06411,-124.1420575,,,
,"555 Hwy 101, Bandon, OR 97411",,"Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,43.1191372,-124.4073117,,,
,"201 NW Douglas Blvd., Winston, OR 97496-8551","Drive-by Ballot Drop Box","Until 8pm on Election Day",,,,,43.121746,-123.415761,1,,
,"250 N. Baxter, Coquille, OR 97423",,"Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,43.1764216,-124.1869021,,,
,"1036 SE Douglas, Roseburg, OR 97470-3301","Outside Ballot Drop Box","Until 8pm on Election Day","Inside Room 124 Ballot Drop","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,43.2104796,-123.3415313,1,,
,"Diamond Lake Blvd. & Fowler, Roseburg, OR 97470","Drive-By Ballot Drop Box - East Parking Lot","Until 8pm on Election Day",,,,,43.2135395,-123.3398512,1,,
,"87541 Christmas Valley Hwy, Christmas Valley, OR 97641",,"Election Day 8am-8pm",,,,,43.23839,-120.6798,,,
,"525 Anderson Ave., Coos Bay, OR 97420",,"Monday-Thursday 10am-7pm; F-Saturday 12pm-6pm; Election Day 10am-8pm",,,,,43.3671968,-124.2173236,,,
,"126 E. Central, Sutherlin, OR 97479-9556","Drive-by Ballot Drop Box","Until 8pm on Election Day",,,,,43.390085,-123.312028,1,,
,"835 California Street, North Bend, OR 97459",,"24 hours daily;  Election Day 7am-8pm",,,,,43.407909,-124.2254992,1,,
,"1800 Sherman Ave., North Bend, OR 97459",,"Monday-Wednesday 11am-8pm; Thursday-Friday 11am-6pm; Saturday-Sunday 12pm-5pm; Election Day 11am-8pm",,,,,43.4091606,-124.2240533,,,
,"64319 Main Ave., Crane, OR 97732","Drive-by Ballot Drop Box, on the left through the gate","Until 8pm on Election Day",,,,,43.4154234,-118.5775697,1,,
,"101 E. Barnes, Hines, OR 97738","Drive Up Ballot Drop Box - enter off of Barnes Ave","Until 8pm on Election Day",,,,,43.5605494,-119.0801051,1,,
,"915 N. Lake Rd., Lakeside, OR 97449",,"Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,43.5761149,-124.1729414,,,
,"17 S. Alder, Burns, OR 97720-2048",,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,43.5858447,-119.0533786,,,
,"450 N. Buena Vista, Burns, OR 97720-2205","Drive Up Ballot Drop Box - enter off of Court Street","Until 8pm on Election Day","County Clerk's Office","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,43.5894877,-119.0565948,1,,
,"80 West ""D"" Street, Burns, OR 97720-1226",,"Tuesday-Saturday 12pm-6pm; Until 8pm on Election Day",,,,,43.5921915,-119.0552916,,,
,"2640 Eagle Valley Rd., Yoncalla, OR 97499",,"Monday-Friday 8am-12:30pm & 1:30pm-5pm; Until 8pm on Election Day",,,,,43.599184,-123.28229,,,
,"16425 First Street, La Pine, OR 97739","Drive-by Ballot Drop Booth in parking area (corner of 1st Street and Huntington Road)","Friday & Monday prior to Election Day 8am-6pm; Election Day 8am-8pm",,"Friday & Monday prior to Election Day 8am-6pm; Election Day 8am-8pm",,,43.673795,-121.505138,,,
,"680 Fir, Reedsport, OR 97467","Drive-by Ballot Drop Box","Until 8pm on Election Day",,,,,43.701056,-124.100459,1,,
,"48318 E 1st St, Oakridge, OR 97463-9701","City Recorder's Office. Handicap Accessible","Monday-Friday 8am-12pm & 1pm-5pm; 8am-12pm & 1pm-8pm on Election Day",,,,,43.747408,-122.45698,,,
,"700 E. Gibbs Ave., Cottage Grove, OR 97424-1640","White Ballot Drop Box in front of the Community Center","Until 8pm on Election Day",,,,,43.799127,-123.060672,1,,
,"56855 Venture Ln., Sunriver, OR 97707-2100","Drive-by Ballot Drop Booth in parking area","Friday prior to Election Day 8am-5pm; Monday prior to Election Day 8am-6pm; Election Day 8am-8pm",,,,,43.8658829,-121.435218,,,
,"319 Main Street, Nyssa, OR 97913-3845","Ballot Drop Box","Until 8pm on Election Day",,,,,43.8766411,-116.9965162,1,,
,"64 W Oregon Ave, Creswell, OR 97426","White Ballot Drop Box west on Oregon Ave in front of Creswell Library","Until 8pm on Election Day",,,,,43.918261,-123.019631,1,,
,"107 E 3rd St, Lowell, OR 97452","City of Lowell. Handicap Accessible.","Monday-Friday 8am-12pm & 1pm-5pm; 8am-12pm & 1pm-8pm Election Day",,,,,43.9218954,-122.7804081,,,
,"900 Greenwood Street, Florence, OR 97439-9492","White Ballot Drop Box in front of City of Florence Police Department","Until 8pm on Election Day",,,,,43.974772,-124.113386,1,,
,"251 ""B"" Street W., Vale, OR 97918-1375","Room 101","Monday-Friday 8:30am-5pm MST; Until 8pm on Election Day",,,,,43.9808,-117.241229,,,
,"388 S.W. 2nd Avenue, Ontario, OR 97914-2741","Ballot Drop Box","Until 8pm on Election Day",,,,,44.0253469,-116.968227,1,,
,"61150 SE 27th Street, Bend, OR 97702-9631","Ballot Drop Box located on side of building","Available 7 days a week; Until 8pm on Election Day",,,,,44.0261568,-121.2638552,1,,
,"2600 Hilyard St., Eugene, OR 97405-3685","White Ballot Drop Box located at Amazon Pool on island off Hilyard turning into pool parking","Until 8pm on Election Day",,,,,44.0304139,-123.0815396,1,,
,"1228 University of Oregon, Eugene, OR 97403","White Ballot Drop Box, outside lower level, east wing, ERB Memorial Union.  Handicap Accessible.","Until 8pm on Election Day",,,,,44.045471,-123.0746171,1,,
,"4550 W. 11th Ave., Eugene, OR ","White Ballot Drop Box (North end of Wal-Mart parking lot)","Until 8pm on Election Day",,,,,44.047892,-123.171265,1,,
,"275 W 10th Ave, Eugene, OR 97401","White Ballot Drop Box- Enter from Lincoln St - west side of Elections Bldg","Until 8pm on Election Day",,,,,44.0489202,-123.0970335,1,,
,"88184 8th St, Veneta, OR 97487","White Ballot Drop Box in parking lot in front of City Hall","Until 8pm on Election Day",,,,,44.051087,-123.360897,1,,
,"165 East 7th Ave., Eugene, OR 97401-3049","White Ballot Drop Box Right off Pearl St-Enter driveway directly behind State of Oregon building","Until 8pm on Election Day",,,,,44.052442,-123.090122,1,,
,"135 E 6th Ave, Eugene, OR 97401","White Ballot Drop Box in front of Lane County Annex. Handicap Accessible","Until 8pm on Election Day",,,,,44.053537,-123.09077,1,,
,"6100 Thurston Rd., Springfield, OR 97478-6955","White Ballot Drop Box at Splash! At Lively Park just past front of building on left of driveway","Until 8pm on Election Day",,,,,44.055532,-122.919893,1,"-'' on 2011-05-10T00:48:43-0600 by 67.51.72.14",
,"Between 5th St. and 6th St., Springfield, OR 97477","White Ballot Drop Box - Enter off A St - box located at north end of covered parking lot","Until 8pm on Election Day",,,,,44.060028,-123.0179934,1,,
,"2727 Martin Luther King Jr Blvd, Eugene, OR 97401-8005","White Ballot Drop Box at Juvenile Justice Center in front of the center's entrance - west side","Until 8pm on Election Day",,,,,44.061254,-123.068747,1,,
,"Corner of Lafayette Ave. & Wall St., Bend, OR 97701","Drive-by Ballot Drop Booth in parking area","Friday prior to Election Day 8am-6pm; Monday prior to Election Day 7am-6pm; Election Day 7am-8pm",,,,,44.0620896,-121.3106707,,,
,"1300 NW Wall Street, Bend, OR 97701-1939","Upper floor, privacy booths available","Monday-Friday 8am-5pm; Election Day 7am-8pm","Ballot Drop Box Located on Parkway side of building","Available 7 days a week; Until 8pm on Election Day",,,44.062637,-121.309544,,,
,"Between 7th and 8th, Eugene, OR 97401","White Ballot Drop Box east side of Pearl St between 7th and 8th Ave between City Hall and County Public Service Building","Until 8pm on Election Day",,,,,44.0637173,-123.0847061,1,,
,"1566 Coburg Rd., Eugene, OR 97401-4802","White Ballot Drop Box in front of Sheldon Library, City of Eugene in Sheldon Plaza next to Rite Aid","Until 8pm on Election Day",,,,,44.0790162,-123.0684659,1,,
,"1990 Echo Hollow Rd., Eugene, OR 97402-7004","White Ballot Drop Box Bethel Library - City of Eugene, Echo Hollow Plaza, far right drive-through","Until 8pm on Election Day",,,,,44.083552,-123.169748,1,,
,"1400 Lake Dr., Eugene, OR 97404","White Ballot Drop Box on south island off Lake Dr, turning into River Road Park and Recreation Center parking lot","Until 8pm on Election Day",,,,,44.085363,-123.137548,1,,
,"3040 N. Delta Hwy., Eugene, OR ","White Ballot Drop Box  In front of Public Works Administration building & Across from Home Depot","Until 8pm on Election Day",,,,,44.0979079,-123.096968,1,,
,"91069 N Willamette St, Coburg, OR 97408","City Recorder's Office. Handicap Accessible.","Monday-Friday 9am-12pm & 1pm-4:30pm; 9am-12pm & 1pm-8pm Election Day",,,,,44.1392435,-123.0672847,,"-'test' on 2011-05-10T01:15:20-0600 by 67.51.72.14",
,"45602 McKenzie Hwy, Vida, OR 97488-9728","Vida Community Market. Handicap Accessible","Sunday-Saturday 6am-7pm; 6am-8pm on Election Day",,,,,44.1472636,-122.5738381,,,
,"28550 SE Paulina Hwy, Post, OR 97752",,"Monday-Friday during regular business hours; Until 8pm on Election Day",,,,,44.156175,-120.490403,,,
,"726 Greenwood St, Junction City, OR 97448-1628","White Ballot Drop Box in parking lot north of library","Until 8pm on Election Day",,,,,44.220329,-123.202397,1,,
,"13650 SW Hwy 126, Powell Butte, OR 97753",,"Monday-Friday during regular business hours; Until 8pm on Election Day",,,,,44.245931,-121.017115,,,
,"716 SW Evergreen Avenue, Redmond, OR 97756-2242","Ballot Drop Box located inside City Hall","Normal Business Days 8am-5pm; Election Day until 8pm",,,,,44.272306,-121.17564,,,
,"827 SW Deschutes Avenue, Redmond, OR 97756-2235","Drive-by Ballot Drop Booth in parking area","Friday & Monday prior to Election Day 8am-6pm; Election Day 8am-8pm",,,,,44.27395,-121.176854,,,
,"520 E Cascade Ave, Sisters, OR 97759","Ballot Drop Box located inside City Hall","Normal Business Days 8am-5pm; Election Day 8am-8pm",,,,,44.291732,-121.544129,,,
,"175 N.W. Meadow Lakes Dr., Prineville, OR 97754",,"Monday-Saturday during regular library hours; Until 8pm on Election Day",,,,,44.301546,-120.857483,,,
,"200 NE Second St., Prineville, OR 97754",,"Monday-Friday during regular business hours; Until 8pm on Election Day",,,,,44.301783,-120.845574,,,
,"300 NE Third, Prineville, OR 97754","Drive-Up Ballot Drop Box","Until 8pm on Election Day","Ballot Drop Inside","Monday-Friday during regular business hours; Until 8pm on Election Day",,,44.302484,-120.844064,1,,
,"441 Hwy 101 N, Yachats, OR 97498","City Hall Lobby","Monday-Friday 8:30am-4:30pm; Until 8pm on Election Day",,,,,44.3127443,-124.1049668,,,
,"664 Commercial Street, Monroe, OR 97456","Inside main entrance at check out counter","Monday-Friday 8am-5pm (Closed 12pm-1pm); Election Day until 8pm",,,,,44.3148098,-123.2998393,,,
,"8154 11th St, Terrebonne, OR 97760","Ballot Drop Box located inside substation","Friday & Monday prior to Election Day 8am-1pm and 2pm-5pm; Election Day 8am-1pm and 2pm-8pm",,,,,44.350293,-121.177238,,,
,"50 East Adams, Huntington, OR 97907",,"Monday-Thursday 9am-12pm & 1pm-4pm; Closed Friday; Election Day 9am-8pm",,,,,44.3504898,-117.2683807,,,
,"186 E Main St, Alsea, OR 97324","Inside main entrance on main counter","Monday-Thursday 6am-8pm; Friday & Saturday 6am-9pm; Sunday 7am-8pm",,,,,44.3818242,-123.5972962,,,
,"205 S Humbolt Street, Canyon City, OR 97820",,"Until 8pm on Election Day",,,,,44.3869174,-118.9507029,1,,
,"201 S. Humboldt, Suite 290, Canyon City, OR 97820","County Clerk's Office","Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,44.38757,-118.95078,,,
,"255 N Main St, Brownsville, OR 97327","Located inside","Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,44.393395,-122.983981,,,
,"1140 12th Ave., Sweet Home, OR 97386",Lobby,"Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,44.3970045,-122.7300573,,,
,"1950 Main Street, Sweet Home, OR 97386",Lobby,"Election Day until 8pm",,,,,44.3992138,-122.7210971,,,
,"507 S Canyon Rd., John Day, OR 97820",,"Monday 1pm-5pm; Tuesday 10am-12pm and 1pm-7pm; Wednesday-Saturday 1pm-5pm; Election Day 12pm-8pm",,,,,44.410024,-118.9523417,,,
,"142 NE Dayton, John Day, OR 97820",,"Monday-Friday 7am-3pm; Election Day 7am-8pm",,,,,44.4168047,-118.9511763,,,
,"199 West Main, Mount Vernon, OR 97865",,"Monday-Friday 8am-4:30pm; Election Day 9am-8pm",,,,,44.4177251,-119.1172406,,,
,"125 Alsea Hwy, Waldport, OR 97394-9805","Drive-up Ballot Drop Box in parking lot of City Hall","Until 8pm on Election day","City Hall Lobby","Monday-Friday 8am-5pm; Closed 12:30pm-1:30pm; Until 8pm on Election Day",,,44.4243699,-124.0468162,1,,
,"5195 SW Clubhouse Rd., CCR, OR 97760","Ballot Drop Box","Until 8pm on Election Day",,,,,44.4245638,-121.2383729,1,,
,"133 S. Bridge, Prairie City, OR ",,"Monday-Friday 9am-5pm; Election Day 9am-8pm",,,,,44.4624341,-118.7113475,,,
,"2590 S. Main St, Lebanon, OR 97355","Office Lobby","Monday-Friday 8am-4pm; Election Day 7am-8pm",,,,,44.523122,-122.9069447,,,
,"200 W 1st Street, Culver, OR 97734",,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.5244353,-121.2099959,,,
,"1050 Applegate St, Philomath, OR 97370","Inside main entrance across from check out counter","Monday, Thursday, Friday, Saturday 10am-5pm; Tuesday-Wednesday 10am-8pm; Election Day until 8pm",,,,,44.5391558,-123.3729347,,,
,"121 SE Viewmont Ave, Corvallis, OR 97333","Outside 24 hour box at north end of parking lot","Election Day until 8pm",,,,,44.5436659,-123.2616921,1,,
,"55 Academy St, Lebanon, OR 97355",,"Monday-Thursday 10am-7pm; Friday & Saturday 10am-5pm; Election Day 7am-8pm",,,,,44.5442598,-122.9082241,,,
,"121 The Valley Library, Corvallis, OR 97330","Inside main entrance next to reception area","Monday-Thursday 7:30am-midnight; Friday 7:30am-10pm;Saturday 10am-10pm; Sunday 10am-midnight; Election Day until 8pm",,,,,44.5647903,-123.2765854,,"-'null' on 2011-05-10T00:07:57-0600 by 67.51.72.14
-'Test' on 2011-05-10T01:14:25-0600 by 67.51.72.14",
,"108 S Nelson Ave, Mitchell, OR 97750","Ballot Drop Box","Until 8pm on Election Day",,,,,44.5649391,-120.1545295,1,,
,"120 NW 4th St, Corvallis, OR 97330","Outside 24 hour box at handicapped entrance to the building on 5th St","Until 8pm on Election Day","Main entrance foyer at top of stairs and in the basement next to Room 13
","Monday-Friday 8am-5pm; Election Day until 8pm",,,44.565262,-123.26218,1,,
,"645 NW Monroe Ave, Corvallis, OR 97330","Inside main entrance next to main desk","Monday-Friday 10am-8pm; Saturday 10am-6pm",,,,,44.56564,-123.264365,,,
,"180 NW 5th St, Corvallis, OR 97330","Outside 24 hour box, curbside at the base of law enforcement building","24 hours 7 days a week",,,,,44.56566,-123.263175,1,,
,"757 NW Polk Ave, Corvallis, OR 97330","Reception Lounge","Monday-Thursday 7:30am-9:30pm; Friday 8am-4pm",,,,,44.571043,-123.2629002,,"-'null' on 2011-05-10T00:08:13-0600 by 67.51.72.14",
,"2601 NW Tyler Ave, Corvallis, OR 97330","Inside main entrance near main desk","Monday-Friday 8am-4pm; Election Day until 8pm",,,,,44.573227,-123.28001,,,
,"6500 Pacific Blvd. SW, Albany, OR 97321","Library Lobby","Monday-Thursday 7:30am-7pm; Friday 7:30am-4pm; Election Day 7am-8pm",,,,,44.586118,-123.109962,,,
,"636 Jefferson Ave., Metolius, OR 97741",,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.5865872,-121.1778468,,,
,"2543 NW Kings Blvd, Corvallis, OR 97330","Outside 24 hour box at bank drive through","Election Day until 8pm",,,,,44.5923046,-123.276357,1,,
,"206 N. Main, Toledo, OR 97391-1536","City Hall Lobby","Monday-Thursday 8am-5pm; Until 8pm on Election Day",,,,,44.6212765,-123.9373053,,,
,"2450 14th Avenue SE, Albany, OR 97322","Library Lobby","Monday-Wednesday 10am-8pm; Thursday-Friday 10am-6pm; Saturday 10am-5pm; Sunday 1pm-5pm; Election Day 7am-8pm",,,,,44.628006,-123.075274,,,
,"5800 NW Highway 99W, Corvallis, OR 97330","Inside on one of the check out counters ","Monday-Friday 6:30am-9pm; Saturday & Sunday 8am-9pm; Election Day until 8pm",,,,,44.62919,-123.241944,,,
,"66 SE ""D"" Street, Madras, OR 97741-1739",,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.6335264,-121.1281701,,,
,"300 4th Ave. SW, Albany, OR 97321","5th Ave. Courthouse drive through","Until 8pm on Election Day","Clerks Office","Monday-Friday 8:30am-5pm; Election Day 7am-8pm",,,44.634384,-123.106854,1,,
,"169 SW Coast Hwy, Newport, OR 97365-3806","City Hall Lobby","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.6351889,-124.0535216,,,
,"225 W. Olive, Newport, OR 97365-3811","Drive-up Ballot Drop Box in rear parking lot of Courthouse","Until 8pm on Election Day","Clerk's Office Lobby-Room 201","Monday-Friday 8:30am-5pm; 7am-8pm on Election Day",,,44.6365398,-124.054711,1,,
,"20742 Hwy 20, Eddyville, OR 97343-9713","Multi-Purpose Room","Election Day ONLY 10am-8pm",,,,,44.639585,-123.7790693,,,
,"621 NW Hickory Ave, Albany, OR 97321","Outside 24 hour box next to main entrance and mailbox in the North Albany Shopping Center","Election Day until 8pm",,,,,44.645956,-123.112707,1,,
,"38957 NW 1st Ave, Scio, OR 97374",Lobby,"Monday-Friday 10am-12pm & 1pm-5pm; Election Day 7am-8pm",,,,,44.704961,-122.849787,,,
,"189 N. Main St., Jefferson, OR 97352","Lobby  (Privacy Booth Available)","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.7182886,-123.0116095,,,
,"215 W Buford, Siletz, OR 97380","City Hall Lobby","Monday-Friday 9am-5pm; Until 8pm on Election Day",,,,,44.7220019,-123.9193306,,,
,"400 N. Santiam Blvd., Mill City, OR 97360","Lobby (Privacy Booth Available)","Monday-Friday 10am-3pm; Until 8pm on Election Day",,,,,44.757163,-122.4810628,,,
,"89 Main St., Richland, OR 97870",,"Monday-Friday 8am-12pm & 1pm-3pm; Election Day 8am-8pm",,,,,44.7694029,-117.167713,,,
,"1995 4th St., Baker City, OR 97814","Ballot Drop Box located at the 4th St. Driveway","Election Day until 8pm",,,,,44.776675,-117.833562,1,,
,"449 5th Street, Lyons, OR 97358","Office Lobby","Monday-Friday 9am-12pm & 1pm-4pm; Election Day 7am-8pm",,,,,44.776782,-122.610096,,"-'Test' on 2011-05-09T20:39:47-0600 by 67.51.72.14",
,"1995 Third Street, Suite 150, Baker City, OR 97814",,"Monday-Friday 8am-12pm & 1pm-5pm; Saturday Oct 30 10am-2pm; Election Day 7am-8pm",,,,,44.77685,-117.834875,,,
,"2810 Cedar Street, Baker City, OR 97814",,"Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,44.78413,-117.818587,,,
,"515 N. 1st. Street, Stayton, OR 97383","Lobby  (Privacy Booth Available)","Monday & Tuesday 10am-5:30pm; Wednesday 12pm-8:30pm; Thursday 10am-8:30pm; Friday 12pm-5:30pm; Saturday 10am-4pm; Until 8pm on Election Day",,,,,44.79911,-122.796279,,,
,"570 SE Shell, Depoe Bay, OR 97341","City Hall Lobby","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.8077848,-124.0605081,,,
,"245 NW Johnson, Sublimity, OR 97385","Lobby  (Privacy Booth Available)","Monday-Friday 9am-4:30pm closed for lunch; Until 8pm on Election Day",,,,,44.8272755,-122.7955263,,,
,"807 Winlock St, Spray, OR 97874","Ballot Drop Box","Until 8pm on Election Day",,,,,44.8350061,-119.7926495,1,,
,"595 Main Street, Aumsville, OR 97325",Lobby,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.841223,-122.870442,,,
,"168 Ecols Street S, Monmouth, OR 97361-2331","Ballot Drop Box inside library","Tuesday-Thursday 10am-8pm; Friday 10am-6pm; Saturday 10am-5pm; Election Day 10am-8pm",,,,,44.8477777,-123.2318265,,,
,"7250 3rd. Street, Turner, OR 97392",Lobby,"Monday-Friday 8:30am-12pm & 12:30pm-5pm; Until 8pm on Election Day",,,,,44.849624,-122.954234,,,
,"240 Monmouth Street, Independence, OR 97351-2424",,"Normal Business Hours; Election Day 8am-8pm",,,,,44.8511891,-123.1867916,,,
,"345 N. Monmouth Avenue, Monmouth, OR 97361-1314","Werner University Center","Monday-Friday 8am-10pm; Saturday 10am-10pm; Election Day 8am-8pm",,,,,44.8549868,-123.2375995,,,
,"111 N Main St, Falls City, OR 97344","Ballot Drop Box inside library","Monday 1pm-6pm; Tuesday noon-5pm; Wednesday & Thursday 1pm-5pm; Saturday 10am-1pm; Election Day noon-8pm",,,,,44.8658099,-123.4284005,,,
,"155 B East Record St., Halfway, OR 97834",,"Monday-Thursday 9am-12pm & 1pm-4pm; Election Day 9am-8pm",,,,,44.8772078,-117.1080234,,,
,"4555 Liberty Rd. S., Salem, OR 97302",,"Tuesday-Thursday 7:30am-5:30pm; Friday 8:30am-5:30pm; Until 8pm on Election Day",,,,,44.8918284,-123.0590696,,,
,"4263 Commercial St. SE 300, Salem, OR 97302-3997","Inside service only.  In office.  (Privacy Booths Available)","Monday-Friday 8:30m-5pm; Saturday prior to Election Day 8:30am-1pm; Election Day 7am-8pm",,,,,44.8935349,-123.0360058,,,
,"850 Main Street, Dallas, OR 97338-3128","Ballot Drop Box on East Side of Courthouse","Until 8pm on Election Day",Courthouse,"Monday-Friday 8am-5pm; Election Day 7am-8pm",,,44.921022,-123.315622,1,,
,"3180 Center St. NE #1361, Salem, OR 97301-4593",Lobby,"Monday-Thursday 8:30am-1pm & 2pm-5pm; Friday 8:30am-1pm; Until 8pm on Election Day",,,,,44.938382,-122.995874,,,
,"100 High St NE, Salem, OR 97301","At front entrance","Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.93992,-123.036064,,,
,"550 Court St NE, Salem, OR 97301","Outside Drive-thru on the north side of Court House on Court Street","Monday prior to Election Day and Election Day 6am-7pm",,,,,44.9404611,-123.0358526,,,
,"1130 Wallace Rd NW, Salem, OR 97304","Ballot Drop Box inside store","Monday-Sunday 6am-10pm; 6am-8pm on Election Day",,,,,44.9507272,-123.0516772,,,
,"801 SW Hwy 101, Lincoln City, OR 97367-2766","Drive-up Ballot Drop Box In lower parking lot of City Hall","Until 8pm on Election Day","City Hall Lobby-3rd Floor","Monday-Friday 8am-5pm; until 8pm on Election Day",,,44.9715688,-124.0143323,1,,
